Date,Commodity,State,District,Market,Minimum Price,Maximum Price,Modal Price,Temperature,Rainfall,Humidity
2023-01-03,Pomegranate,Karnataka,Bangalore Urban,Bangalore Urban Main Market,150,183,165,16.002247718549246,0.6400245843416741,65.83694919165859
2023-01-03,Pomegranate,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Main Market,139,156,148,17.39139638395164,15.545585767115536,51.16535632622158
2023-01-03,Cabbage,Andhra Pradesh,Visakhapatnam,Visakhapatnam Main Market,19,23,21,17.979443989927002,16.264243067869867,42.281126034162654
2023-01-03,Green Chilli,Telangana,Nizamabad,Nizamabad Main Market,48,57,52,17.476569325917,15.515214674772945,68.27480741221083
2023-01-03,Orange,Tamil Nadu,Chennai,Chennai Main Market,62,76,70,27.461423924521675,19.562643408886384,69.02585485341947
2023-01-03,Carrot,Karnataka,Hubli,Hubli Main Market,33,41,36,16.70963535673799,0.6285913100829066,65.52967055832234
2023-01-03,Carrot,Tamil Nadu,Madurai,Madurai Main Market,27,35,32,19.54564888949277,5.78287606351423,49.567414600453695
2023-01-03,Pomegranate,Tamil Nadu,Madurai,Madurai Main Market,151,174,165,20.197376877272557,0.5817240378357735,54.41445911824857
2023-01-04,Grapes,Andhra Pradesh,West Godavari,West Godavari Main Market,78,97,86,23.898424536702933,6.684192811795377,54.54634720181292
2023-01-04,Onion,Andhra Pradesh,Guntur,Guntur Main Market,26,34,30,17.706342123093314,19.21492273384117,56.333213370010114
2023-01-04,Grapes,Andhra Pradesh,Krishna,Krishna Main Market,71,89,82,24.956383346417738,16.112035989454842,43.74042668417201
2023-01-04,Apple,Telangana,Nizamabad,Nizamabad Main Market,107,131,123,25.38301046544135,8.014703486116385,41.175581658246784
2023-01-04,Cauliflower,Andhra Pradesh,East Godavari,East Godavari Main Market,23,28,26,20.68299173456579,8.670914794324535,50.1379686234075
2023-01-04,Onion,Karnataka,Bangalore Urban,Bangalore Urban Main Market,21,25,24,26.90544998314119,11.538124140810119,53.71078428509499
2023-01-04,Green Chilli,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Main Market,55,68,60,15.00084681395168,14.010988825608228,54.5890392484607
2023-01-04,Pomegranate,Andhra Pradesh,East Godavari,East Godavari Main Market,151,184,171,21.691517246436188,11.364629332399607,49.437828391723926
2023-01-04,Apple,Andhra Pradesh,East Godavari,East Godavari Main Market,122,141,130,17.5026638831686,9.328689896364068,68.76292648004326
2023-01-04,Pomegranate,Tamil Nadu,Madurai,Madurai Main Market,159,194,179,20.644905156503516,11.004949912761326,52.63615967086517
2023-01-05,Green Chilli,Telangana,Nizamabad,Nizamabad Main Market,51,64,59,19.076615898033538,1.6773897317606723,43.343422146169786
2023-01-05,Mango,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Main Market,75,92,86,16.363406547748056,12.271567557059642,64.61662008603223
2023-01-05,Orange,Tamil Nadu,Chennai,Chennai Main Market,61,72,66,22.67282514826302,2.3879426563977324,46.058170169958096
2023-01-05,Papaya,Telangana,Hyderabad,Hyderabad Main Market,28,34,32,25.211002072836322,19.945249609099637,58.44292319537895
2023-01-05,Watermelon,Telangana,Medchal,Medchal Main Market,13,17,16,19.116140372224592,8.599649260683293,52.03079844485916
2023-01-05,Grapes,Tamil Nadu,Chennai,Chennai Main Market,76,94,83,25.838224408857158,3.9168495099327183,57.53736351460525
2023-01-05,Apple,Telangana,Nizamabad,Nizamabad Main Market,90,119,105,21.765106022500863,6.493563172533168,46.01873993362558
2023-01-05,Onion,Telangana,Nizamabad,Nizamabad Main Market,32,39,35,26.057665750038893,9.35098412410505,42.567286164704534
2023-01-05,Cabbage,Maharashtra,Aurangabad,Aurangabad Main Market,19,22,21,20.335889228341067,8.03198307187812,61.348348833857514
2023-01-06,Green Chilli,Tamil Nadu,Madurai,Madurai Main Market,45,56,52,27.267835726569423,16.293346971529733,49.26552933378045
2023-01-06,Garlic,Telangana,Medchal,Medchal Main Market,200,239,226,23.38823039717984,11.777908098131494,50.422995914404574
2023-01-06,Cabbage,Karnataka,Mangalore,Mangalore Main Market,18,22,20,23.50404372918868,3.456057642480024,46.75403666759923
2023-01-06,Mango,Andhra Pradesh,Visakhapatnam,Visakhapatnam Main Market,58,68,64,16.380604252231752,15.230392409737295,51.473126046197315
2023-01-06,Potato,Maharashtra,Aurangabad,Aurangabad Main Market,21,28,25,17.458651105992953,17.725899801869836,42.267817301564556
2023-01-06,Orange,Andhra Pradesh,Visakhapatnam,Visakhapatnam Main Market,69,82,74,18.721816014989102,1.7534974138599102,69.34338092470354
2023-01-06,Papaya,Karnataka,Bangalore Urban,Bangalore Urban Main Market,25,31,28,25.575349549364113,13.69965170880868,44.81720847928727
2023-01-06,Carrot,Telangana,Medchal,Medchal Main Market,27,33,30,24.17293829681869,3.3985368239298763,69.25673750314263
2023-01-07,Papaya,Tamil Nadu,Coimbatore,Coimbatore Main Market,22,25,24,27.586004622150725,0.7064935252646953,42.016286945796494
2023-01-07,Green Chilli,Telangana,Nizamabad,Nizamabad Main Market,37,48,44,21.041278502397113,5.204697094314099,50.43467880783541
2023-01-07,Grapes,Maharashtra,Aurangabad,Aurangabad Main Market,73,91,85,27.074250734034536,11.732021135847429,68.35452898704278
2023-01-07,Apple,Andhra Pradesh,East Godavari,East Godavari Main Market,124,160,141,20.052625933324748,6.076002814319317,53.183766264439484
2023-01-07,Watermelon,Andhra Pradesh,Visakhapatnam,Visakhapatnam Main Market,19,22,21,16.08647159693531,10.93764731332648,59.903592273818646
2023-01-07,Spinach,Maharashtra,Mumbai,Mumbai Main Market,10,13,12,23.774157668495377,15.041109515702795,63.08936820412059
2023-01-07,Tomato,Tamil Nadu,Salem,Salem Main Market,20,26,24,21.728501420084296,18.102579591172457,59.25532210208
2023-01-07,Apple,Telangana,Nizamabad,Nizamabad Main Market,134,155,144,24.351902028177673,5.222833419493975,40.33282108372335
2023-01-08,Apple,Karnataka,Hubli,Hubli Main Market,129,154,143,22.668411138909153,16.84189174040704,66.50387810142362
2023-01-08,Potato,Telangana,Nizamabad,Nizamabad Main Market,14,17,16,18.291307079793334,19.556653759822623,54.456451860658525
2023-01-08,Potato,Tamil Nadu,Madurai,Madurai Main Market,20,25,22,24.934536631967884,9.70176472018009,59.05302044719781
2023-01-08,Grapes,Karnataka,Bangalore Urban,Bangalore Urban Main Market,100,122,107,22.548603975206955,11.707926252885887,58.23678149538251
2023-01-08,Potato,Telangana,Medchal,Medchal Main Market,19,22,21,20.78024764199398,7.590238070437616,51.44799620983787
2023-01-08,Potato,Karnataka,Bangalore Urban,Bangalore Urban Main Market,16,21,19,22.825530195728906,7.961666682860791,56.43837498249799
2023-01-08,Papaya,Karnataka,Mysore,Mysore Main Market,22,27,25,20.37284675010143,7.896486197105959,69.961453308033
2023-01-08,Pomegranate,Telangana,Nizamabad,Nizamabad Main Market,120,136,129,26.717929855319277,11.996529767452264,64.85372544121572
2023-01-08,Potato,Telangana,Hyderabad,Hyderabad Main Market,21,26,25,23.044970197734557,2.1261334864381065,40.08449559391744
2023-01-08,Papaya,Maharashtra,Nashik,Nashik Main Market,24,27,26,19.66175993626316,8.752263501856131,49.47015390178407
2023-01-09,Grapes,Maharashtra,Pune,Pune Main Market,88,109,99,21.544907496158146,17.07343128079988,68.92444437714434
2023-01-09,Potato,Telangana,Hyderabad,Hyderabad Main Market,22,27,25,21.9021200422759,0.8648769445004079,61.245655101430444
2023-01-09,Banana,Andhra Pradesh,West Godavari,West Godavari Main Market,47,56,51,15.25974011960088,6.474459063685012,58.4490817530055
2023-01-09,Papaya,Tamil Nadu,Salem,Salem Main Market,21,27,24,21.30852489509528,13.958453109371113,51.176438200625405
2023-01-09,Mango,Tamil Nadu,Salem,Salem Main Market,78,92,86,25.95973884720034,7.693045602074844,68.91304481737441
2023-01-09,Garlic,Karnataka,Belgaum,Belgaum Main Market,170,217,192,24.84553913712439,7.292535644297433,60.76189006827217
2023-01-09,Cauliflower,Andhra Pradesh,Guntur,Guntur Main Market,18,21,20,25.498170682423698,11.99113638482867,65.98816378623387
2023-01-09,Apple,Tamil Nadu,Madurai,Madurai Main Market,135,168,154,22.814082910138886,15.857854689586585,41.91304038383118
2023-01-09,Banana,Tamil Nadu,Madurai,Madurai Main Market,27,34,32,16.371251243432404,7.034479345356816,57.69928654538272
2023-01-09,Garlic,Telangana,Nizamabad,Nizamabad Main Market,192,227,210,27.92221040224208,15.898955892072939,58.51468212084389
2023-01-10,Banana,Tamil Nadu,Chennai,Chennai Main Market,39,48,46,22.74744683522277,14.030628208300309,56.46259078645045
2023-01-10,Green Chilli,Telangana,Medchal,Medchal Main Market,51,65,60,25.84118924926201,7.060020614728753,62.334820608446066
2023-01-10,Pomegranate,Andhra Pradesh,East Godavari,East Godavari Main Market,135,169,152,20.802077601637475,9.30712980350392,49.02984076170403
2023-01-10,Brinjal,Telangana,Medchal,Medchal Main Market,33,38,36,19.645538795599567,0.9015493241574846,44.7821992832052
2023-01-10,Apple,Andhra Pradesh,Guntur,Guntur Main Market,90,114,102,20.296359052643915,14.552901139249082,60.3860145794049
2023-01-11,Apple,Andhra Pradesh,Krishna,Krishna Main Market,113,130,121,24.81719556732771,10.19898590705193,42.07673826703644
2023-01-11,Potato,Telangana,Warangal,Warangal Main Market,15,18,17,18.94806834794315,17.958103606767803,49.64774752392113
2023-01-11,Onion,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Main Market,24,29,26,25.067253434538003,10.466428854233564,53.78802298845737
2023-01-11,Potato,Tamil Nadu,Coimbatore,Coimbatore Main Market,20,26,24,20.321828052341683,0.6776142592673962,69.44964399247445
2023-01-11,Grapes,Telangana,Ranga Reddy,Ranga Reddy Main Market,76,100,89,20.804079526468996,15.9678207235403,61.301929893658425
2023-01-11,Mango,Telangana,Warangal,Warangal Main Market,88,103,96,21.747504498286442,2.4026887154977383,60.037513035367986
2023-01-11,Green Chilli,Andhra Pradesh,East Godavari,East Godavari Main Market,47,59,55,24.84016456013898,4.211454498633136,58.095518987061794
2023-01-11,Green Chilli,Karnataka,Mysore,Mysore Main Market,39,49,44,15.0243545376155,19.322718246553492,60.82074427482831
2023-01-11,Brinjal,Telangana,Medchal,Medchal Main Market,26,34,31,24.516028643114012,2.368839893665784,40.12601904116079
2023-01-11,Carrot,Karnataka,Bangalore Urban,Bangalore Urban Main Market,27,34,31,24.57804519183785,0.5645617485877796,60.26809505225506
2023-01-12,Onion,Maharashtra,Pune,Pune Main Market,26,32,31,26.536274934196847,5.232013690787058,50.4235354063139
2023-01-12,Watermelon,Karnataka,Belgaum,Belgaum Main Market,14,16,16,21.75866862327736,8.473485089040192,62.61299323547086
2023-01-12,Orange,Karnataka,Bangalore Urban,Bangalore Urban Main Market,49,61,55,17.52041720792539,4.175483657773819,65.03105896513688
2023-01-12,Onion,Karnataka,Mysore,Mysore Main Market,25,32,29,19.1831982364034,10.088829337971054,54.52467559429991
2023-01-12,Potato,Andhra Pradesh,East Godavari,East Godavari Main Market,18,22,21,18.630536025339328,13.819257011912939,62.45752787357479
2023-01-12,Apple,Karnataka,Belgaum,Belgaum Main Market,138,165,153,26.492102751152046,3.0833649079168812,49.57866240445187
2023-01-12,Garlic,Andhra Pradesh,Visakhapatnam,Visakhapatnam Main Market,147,192,168,19.481443062292552,8.322860798769876,50.53804050816497
2023-01-12,Onion,Telangana,Medchal,Medchal Main Market,34,39,37,21.814102593776585,12.022614709931537,64.75518194724188
2023-01-12,Cabbage,Tamil Nadu,Coimbatore,Coimbatore Main Market,22,28,25,26.161981842836525,14.624770945036474,69.03383615873418
2023-01-12,Mango,Maharashtra,Mumbai,Mumbai Main Market,74,89,84,15.228055006296568,9.839937550512248,60.56301852076214
2023-01-12,Apple,Telangana,Ranga Reddy,Ranga Reddy Main Market,91,121,106,19.1636310742782,17.374130141629234,58.21772462640718
2023-01-13,Ginger,Telangana,Nizamabad,Nizamabad Main Market,95,110,104,16.474650475079486,16.248551843307062,49.593748601509645
2023-01-13,Potato,Karnataka,Hubli,Hubli Main Market,17,22,20,20.245951954477245,17.088178786969486,57.09397788515837
2023-01-13,Carrot,Telangana,Medchal,Medchal Main Market,30,35,32,20.227167279748603,15.568315813478115,43.00074155684839
2023-01-13,Brinjal,Maharashtra,Pune,Pune Main Market,30,38,35,17.90639495994445,13.256508916115772,50.63768984988543
2023-01-13,Orange,Telangana,Nizamabad,Nizamabad Main Market,68,80,76,25.736813210253775,12.328817804010448,55.42922153075814
2023-01-13,Grapes,Telangana,Ranga Reddy,Ranga Reddy Main Market,79,91,85,27.277034423947118,2.725526667585083,49.076678714755
2023-01-13,Brinjal,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Main Market,31,40,37,23.075308109804986,2.9250798306181514,41.58953841364684
2023-01-13,Brinjal,Tamil Nadu,Madurai,Madurai Main Market,21,28,25,22.737570244758345,7.293937446968672,41.33004870146383
2023-01-14,Banana,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Main Market,32,40,37,19.71358333253731,17.358361042571396,50.48896745016661
2023-01-14,Cabbage,Andhra Pradesh,East Godavari,East Godavari Main Market,18,22,21,23.61749481716754,19.033921317921106,51.36598508981266
2023-01-14,Tomato,Andhra Pradesh,Krishna,Krishna Main Market,19,24,21,23.26569233495883,13.685549570804028,53.193036273961354
2023-01-14,Ginger,Telangana,Warangal,Warangal Main Market,129,155,137,17.373895911554264,15.369406318707163,50.162547275761625
2023-01-14,Pomegranate,Andhra Pradesh,Visakhapatnam,Visakhapatnam Main Market,111,145,131,24.89557550019071,1.4362367308475066,56.393539008405114
2023-01-14,Orange,Telangana,Ranga Reddy,Ranga Reddy Main Market,61,71,67,18.232851167945185,7.439503345116433,55.04944551638232
2023-01-14,Ginger,Telangana,Nizamabad,Nizamabad Main Market,131,157,140,18.113114319028227,6.2346696631615695,53.11437917645132
2023-01-15,Brinjal,Maharashtra,Aurangabad,Aurangabad Main Market,28,35,31,18.340725254300953,11.574048688079593,57.984392380552016
2023-01-15,Papaya,Tamil Nadu,Salem,Salem Main Market,30,36,33,24.397619874611948,11.721898262769159,67.31441624297025
2023-01-15,Papaya,Andhra Pradesh,Krishna,Krishna Main Market,29,36,33,21.33828420731968,19.992934147813646,54.510831753076275
2023-01-15,Pomegranate,Telangana,Medchal,Medchal Main Market,110,132,122,22.971201106503777,6.5791598187013705,44.10593335899681
2023-01-15,Watermelon,Andhra Pradesh,Guntur,Guntur Main Market,22,28,25,15.961177695177318,4.033399182237709,68.99733979365118
2023-01-15,Carrot,Andhra Pradesh,Guntur,Guntur Main Market,30,37,34,16.324055415019732,5.714907460344099,69.15878649191367
2023-01-15,Ginger,Maharashtra,Aurangabad,Aurangabad Main Market,112,137,121,18.74181220921767,14.371083602275615,60.0210460264189
2023-01-15,Cabbage,Telangana,Hyderabad,Hyderabad Main Market,16,19,18,27.736785879046764,6.650484689293473,46.830493513903804
2023-01-15,Green Chilli,Tamil Nadu,Madurai,Madurai Main Market,47,60,53,24.843912604009546,17.9573268661038,57.82552521698318
2023-01-15,Cabbage,Telangana,Hyderabad,Hyderabad Main Market,17,22,20,20.770555120252318,0.17701007720700934,53.230116565774466
2023-01-16,Pomegranate,Karnataka,Hubli,Hubli Main Market,118,137,130,25.955451941492903,4.254262873305192,58.32078037580822
2023-01-16,Mango,Karnataka,Hubli,Hubli Main Market,63,75,69,20.69231479030072,12.947125729564153,64.77895867703434
2023-01-16,Mango,Andhra Pradesh,Krishna,Krishna Main Market,70,87,83,22.14875954932134,11.135207348119627,49.93048347485457
2023-01-16,Banana,Maharashtra,Aurangabad,Aurangabad Main Market,42,47,45,27.206471413843616,3.3217392681809788,41.945291895977356
2023-01-16,Banana,Andhra Pradesh,East Godavari,East Godavari Main Market,38,49,43,21.06507749786202,0.26395444877880037,54.852381832301006
2023-01-16,Cabbage,Maharashtra,Aurangabad,Aurangabad Main Market,15,18,18,23.498873347828386,1.9788174160530136,54.76481995560506
2023-01-16,Garlic,Telangana,Warangal,Warangal Main Market,206,244,229,26.419481022833047,13.596314636809737,49.448438277518555
2023-01-16,Potato,Tamil Nadu,Coimbatore,Coimbatore Main Market,18,21,20,21.454311995888354,15.804544900103778,46.82498015337809
2023-01-16,Watermelon,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Main Market,18,22,20,16.736732130140457,1.3717466302635106,58.91081510375108
2023-01-16,Green Chilli,Tamil Nadu,Chennai,Chennai Main Market,36,47,42,21.77458730978989,0.3404761729672079,63.36337931054527
2023-01-16,Banana,Telangana,Medchal,Medchal Main Market,39,51,46,16.624232563956546,4.2227568557420785,68.79992197748966
2023-01-16,Banana,Karnataka,Belgaum,Belgaum Main Market,32,41,38,23.382799792584258,1.135264899525379,42.87932879334722
2023-01-16,Apple,Karnataka,Mysore,Mysore Main Market,110,131,122,19.49404644874534,3.9849444319468064,55.7296784907131
2023-01-16,Tomato,Andhra Pradesh,West Godavari,West Godavari Main Market,25,30,28,18.11857852597608,2.783677852509867,41.2710703248174
2023-01-16,Apple,Telangana,Hyderabad,Hyderabad Main Market,115,135,123,25.798466620257226,18.884457823390363,60.00098230143858
2023-01-16,Spinach,Karnataka,Hubli,Hubli Main Market,13,15,15,20.133083507274783,11.659628359086291,44.37929450322847
2023-01-16,Banana,Telangana,Warangal,Warangal Main Market,40,52,47,22.667524329832432,19.00231571103563,53.14432629309279
2023-01-16,Cauliflower,Andhra Pradesh,West Godavari,West Godavari Main Market,27,33,31,23.494843764117164,9.121740181469516,43.49642021717978
2023-01-17,Carrot,Karnataka,Hubli,Hubli Main Market,36,46,42,23.52611152697337,17.959464284115413,57.72685962487549
2023-01-17,Pomegranate,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Main Market,142,189,166,19.817355229852442,19.124961814481196,63.679268552862695
2023-01-17,Grapes,Andhra Pradesh,Krishna,Krishna Main Market,97,130,114,23.946325838218485,17.011147161663406,45.47776835987947
2023-01-17,Grapes,Andhra Pradesh,Guntur,Guntur Main Market,70,88,82,20.85225534600439,11.422727632073741,46.631615030050256
2023-01-17,Papaya,Andhra Pradesh,Krishna,Krishna Main Market,33,40,38,25.610309211494325,12.254664127949216,63.34346500870792
2023-01-17,Ginger,Andhra Pradesh,West Godavari,West Godavari Main Market,115,136,124,19.568821897812377,7.12431048638371,51.69578899581904
2023-01-17,Orange,Maharashtra,Nashik,Nashik Main Market,49,60,56,18.63106498749845,1.5573646264951235,51.97269109363998
2023-01-17,Pomegranate,Telangana,Nizamabad,Nizamabad Main Market,128,149,140,16.68960352353173,14.892943690273734,61.219636986796786
2023-01-17,Brinjal,Telangana,Medchal,Medchal Main Market,24,28,27,24.795890536578675,16.682259138317367,56.754682057168615
2023-01-17,Spinach,Tamil Nadu,Chennai,Chennai Main Market,14,18,16,17.813446225645496,1.9590463020176019,54.800005677955824
2023-01-17,Onion,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Main Market,25,31,28,26.418766880729166,6.236982300797114,60.942788116516695
2023-01-17,Grapes,Maharashtra,Aurangabad,Aurangabad Main Market,90,117,104,23.18998925402392,19.79526549199045,45.5050461248842
2023-01-18,Carrot,Tamil Nadu,Chennai,Chennai Main Market,30,34,33,18.38603433670462,3.338029628057224,63.0521153198639
2023-01-18,Green Chilli,Andhra Pradesh,West Godavari,West Godavari Main Market,42,55,49,15.480470498455645,3.0029525253965694,65.4245632844958
2023-01-18,Tomato,Karnataka,Mangalore,Mangalore Main Market,17,22,20,18.73273012211593,18.220720057734987,63.71247194601582
2023-01-18,Cauliflower,Karnataka,Mangalore,Mangalore Main Market,20,24,22,21.70433258440936,7.163795633581664,69.56375337735636
2023-01-18,Cabbage,Tamil Nadu,Chennai,Chennai Main Market,22,25,24,17.301034657157842,17.85218326805763,48.69686734159831
2023-01-18,Cabbage,Andhra Pradesh,Krishna,Krishna Main Market,18,21,20,15.431080503751392,14.968794596021663,42.55808744768813
2023-01-18,Apple,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Main Market,106,131,121,21.820321779940752,1.8969056166048337,40.519037308381094
2023-01-18,Mango,Karnataka,Belgaum,Belgaum Main Market,83,106,97,16.20928221283691,13.654348621004102,63.95351532124725
2023-01-19,Spinach,Karnataka,Hubli,Hubli Main Market,14,16,15,21.85702328926245,1.4138229983748518,50.74537948223019
2023-01-19,Tomato,Karnataka,Hubli,Hubli Main Market,21,25,24,20.732493269629106,6.897022245374698,50.49145231091947
2023-01-19,Onion,Tamil Nadu,Chennai,Chennai Main Market,26,31,29,24.19779817682322,2.536709726146529,69.87786428792987
2023-01-19,Green Chilli,Karnataka,Belgaum,Belgaum Main Market,57,67,62,25.29564094762069,10.54450033439204,63.76818735125
2023-01-19,Papaya,Andhra Pradesh,West Godavari,West Godavari Main Market,26,32,29,19.64772316631432,1.0362277301400535,40.39511549451082
2023-01-19,Orange,Karnataka,Hubli,Hubli Main Market,54,61,58,17.07830485392942,19.15323551718813,69.87572636941648
2023-01-19,Banana,Andhra Pradesh,East Godavari,East Godavari Main Market,32,41,37,17.521482441286455,19.936065590754254,69.94603183446213
2023-01-19,Spinach,Karnataka,Mysore,Mysore Main Market,17,21,19,16.724675602948956,19.24585369444514,61.74378036295185
2023-01-19,Cauliflower,Telangana,Warangal,Warangal Main Market,22,27,25,22.1141988207011,18.895788151904483,66.57244815889307
2023-01-19,Brinjal,Tamil Nadu,Madurai,Madurai Main Market,26,34,31,15.962965436757859,10.06722291468285,69.835836430891
2023-01-20,Spinach,Karnataka,Mysore,Mysore Main Market,13,16,15,26.66798749506485,4.570909461631436,63.83325847322189
2023-01-20,Potato,Maharashtra,Nagpur,Nagpur Main Market,16,20,18,18.34640972339886,19.564948878057283,43.138537331309855
2023-01-20,Green Chilli,Karnataka,Mysore,Mysore Main Market,39,47,45,25.08733465545226,11.600883849453634,53.275265026883176
2023-01-20,Spinach,Maharashtra,Mumbai,Mumbai Main Market,15,19,18,17.60197878720811,1.3463655728206336,65.87878336547999
2023-01-20,Spinach,Andhra Pradesh,East Godavari,East Godavari Main Market,13,17,16,22.253650416822108,14.853536492577305,65.32362963471792
2023-01-20,Orange,Andhra Pradesh,East Godavari,East Godavari Main Market,57,67,61,15.628526111029764,3.865233178991978,63.69205892530832
2023-01-20,Ginger,Maharashtra,Mumbai,Mumbai Main Market,111,131,123,23.29514167207192,9.235764595971181,52.59913410389745
2023-01-20,Spinach,Maharashtra,Aurangabad,Aurangabad Main Market,13,17,15,25.658781587847265,10.126010787200563,68.5661602659201
2023-01-20,Orange,Karnataka,Mysore,Mysore Main Market,65,74,70,24.68248689428804,8.816458843772583,52.49575617159128
2023-01-21,Brinjal,Andhra Pradesh,West Godavari,West Godavari Main Market,23,30,27,25.657223983445835,13.29362808582544,40.933285537672155
2023-01-21,Carrot,Telangana,Medchal,Medchal Main Market,27,33,32,26.418092973177785,3.5108548718831134,63.83662635755722
2023-01-21,Papaya,Maharashtra,Mumbai,Mumbai Main Market,27,34,31,26.639083925795983,17.01978843206137,57.32472586715781
2023-01-21,Green Chilli,Tamil Nadu,Coimbatore,Coimbatore Main Market,37,47,42,16.40959342192087,14.917678762488809,50.364559283982764
2023-01-21,Spinach,Tamil Nadu,Chennai,Chennai Main Market,17,20,19,25.93520007497421,13.189635192505797,49.7266440542089
2023-01-22,Apple,Telangana,Warangal,Warangal Main Market,135,163,152,22.685846254402627,9.648366546239464,45.76634284715341
2023-01-22,Garlic,Maharashtra,Mumbai,Mumbai Main Market,194,234,208,24.73993561240249,19.878896351390342,61.164666561576794
2023-01-22,Pomegranate,Karnataka,Mysore,Mysore Main Market,117,139,129,25.326142482147745,11.764439349766214,47.48624969015155
2023-01-22,Orange,Maharashtra,Mumbai,Mumbai Main Market,42,51,49,16.389677066783516,18.533104604234097,61.54589482563395
2023-01-22,Banana,Telangana,Medchal,Medchal Main Market,39,47,43,26.17333589141001,14.921893816559027,65.73075995997793
2023-01-22,Carrot,Maharashtra,Mumbai,Mumbai Main Market,33,40,36,20.251607165955505,10.874430676146918,57.67702762867003
2023-01-23,Mango,Andhra Pradesh,East Godavari,East Godavari Main Market,64,77,68,19.077361327186864,13.65732717377094,63.33664408906701
2023-01-23,Apple,Tamil Nadu,Madurai,Madurai Main Market,93,106,100,27.977452914562193,18.918508716357593,54.92067410943152
2023-01-23,Pomegranate,Maharashtra,Mumbai,Mumbai Main Market,147,178,160,25.294969050840585,19.552971414714552,65.9636756819858
2023-01-23,Ginger,Tamil Nadu,Tiruchirappalli,Tiruchirappalli Main Market,101,115,108,23.080315545710842,19.103817826080302,44.86526382183893
2023-01-23,Green Chilli,Maharashtra,Mumbai,Mumbai Main Market,48,63,57,18.436435198149084,8.02633107964931,42.69966975820492
2023-01-23,Papaya,Andhra Pradesh,Visakhapatnam,Visakhapatnam Main Market,22,27,24,25.484173362066386,17.38961025155804,62.69967366671097
2023-01-23,Banana,Maharashtra,Mumbai,Mumbai Main Market,27,36,32,21.89418287819861,6.1090217603694486,63.05418760537835
2023-01-23,Onion,Tamil Nadu,Madurai,Madurai Main Market,20,25,24,22.88722253048704,1.8302001276017488,50.9677323758628
2023-01-23,Pomegranate,Maharashtra,Aurangabad,Aurangabad Main Market,171,194,182,25.642680700400803,5.8111059714176765,58.542809940579026
